Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours
CHIBULUNA (EAST AND WEST),28.1167,-12.7667,Western Province,"Central Copperbelt, In Chibuluna Nl18","Western > Central Copperbelt, In Chibuluna Nl18","Central Copperbelt, In Chibuluna Nl18","Central Copperbelt, In Chibuluna Nl18",16 KM west of Kitwe,Copper,Cobalt,,UNKNOWN,IN SITU ONE RESERVES ESTIMATED BY NKAMA DIVISION AS AT 31 MARCH 1990 WERE: (1) AT CHIBULUNA EAST - 1.022 MILLION TOWERS @ 1.57% CU AND 0.75% CO. (2) AT CHIBULUNA WEST - 6.985 MILLION TOWERS @ 3.52% CU AND 0.16% CO. THE TOTAL FOR ALL UNDERGROUND SOURCES WAS 8.007 MILLION TOWERS @ 3.27% COPPER AND 0.19% CO. IN SITU RESOURCES WERE ESTIMATED AT 14.0 MILLION TOWERS AT 3.93% TOU.,STRATIFORM COPPER IN:LOWER ROAN,"Rock types: QUARTZITE, DOLOMITE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",6287.541886,89.82202694
ITANA,-12.9333,28.5833,Copperbelt Province,Copperbelt Province,Copperbelt,Nodla Area,Copperbelt Province,1. 5 KM east of nodla railway station,Zinc,Lead,Copper,INACTIVE,AS A BASE METAL PROSPECT,UNCLASSIFIED,THE LIMESTONE QUARRY IS STILL ACTIVE.,91.13082258,1.301868894
MISNISHI,12.9014,28.65,Southern Province,Southeastern Copperbellt,Southern > Southeastern Copperbellt,Southeastern Copperbellt,Southeastern Copperbellt,"10 KM north of Ndola, 15 KM NE of luanswya",Copper,Talc,,INACTIVE,"POSSIBLY 600,000 TOWNS AVERAGING 1.03X COPPER IN A SMALL POD OF MINERALIZATION REPEATED BY FOLDING (FREEMAN, 1988).",STRATIFORM COPPER IN LOWER ROAN,Rock types: QUARTZITE; Mineralization: COPPER.,2829.587934,40.42268477
MUEKERA,-12.75,28.5833,Copperbelt Province,Copperbelt Province,Copperbelt,Southeastern Copperbelt,Copperbelt Province,"40 KM SE of Mufulira and 24 KM nn of Ndola, near the Zaire border",Copper,,,INACTIVE,"7.1 MILLION TONNES AT AN AVERAGE GRADE OF 1.53X COPPER IN 3 ZONES. THE LOWER OREGODY CONTAINS AN ESTIMATED 4.6 MILLION TONNES @ 1.76X COPPER; OR A THINNER, HIGHER GRADE SECTION CONTAINING 2.6 MILLION TONNES @ 2.37X. THE LOWER GRADE ""FRINGE"" CONTAINS 1.7 MILLION TONNES @ 1.5X; AND THE HANGING WALL MINERALIZATION COMPRISES 800,000 TONNES @ 1.3X COPPER. (FREEMAN, 1988).",STRATIFORM COPPER IN LOWER ROAN,"Rock types: QUARTZITE, CONGLOMERATE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",83.13481505,1.187640215
NDOLA EAST,-12.8667,28.7167,Copperbelt Province,Copperbelt Province,Copperbelt,Southeastern Copperbelt,Copperbelt Province,"8 KM north of Ndola, 33 KM NE of Luanshya, and 55 KM SE of Mufulira",Copper,,,INACTIVE,"IT HAS BEEN ROUGHLY ESTIMATED THAT AN AREA MEASURING 3,500 M BY 1,500 M WITH A MINERALIZED ZONE AVERAGING 5 M IN THICKNESS COULD CONTAIN ABOUT 40 MILLION TONNES AVERAGING 0.76X COPPER.",STRATIFORM COPPER IN LOWER ROAN,"Rock: Quartzite, Dolomite; Minerals: Copper; Formation: Roam Formation",101.0553859,1.44364837
NDOLA WEST,-12.9333,28.6667,Copperbelt Province,Copperbelt Province,Copperbelt,Southeastern Copperbelt,Copperbelt Province,"5 KM west of Ndola town, 25 KM NNE of luansnya, 60 KM SE of Mufulira",Copper,,,INACTIVE,POSSIBLY 3 MILLION TONNES AT AN AVERAGE GRADE OF 1.56X COPPER.,STRATIFORN COPPER IN LOWER ROAN,"Rock types: QUARTZITE, DOLOMITE; Mineralization: COPPER.",99.11755811,1.415965116
NGALA,-12.5833,28.5167,Copperbelt Province,Copperbelt Province,Copperbelt,Eastern Copperbelt,Copperbelt Province,25 KM SE of Mufulira,Copper,,,INACTIVE,"ABOUT 200,000 TONNES AT AN AVERAGE GRADE OF 2.41% IN A SMALL, STEEPLY DIPPING BODY (FREEMAN, 1988).",STRATIFORM COPPER OXIDES AND SULPHIDES IN LOWER ROAN,"Rock types: QUARTZITE, SCHIST, DOLOMITE; Mineralization: COPPER, MALACHITE, DIAMOND; Formation: MUASHIA AND KUNDELUNGUI FORMATION.",72.57005843,1.03671512
AREA K,-12.8333,28.25,Copperbelt Province,Copperbelt Province,Copperbelt,"Hkana Division, Central Copperbelt",Copperbelt Province,6 KM south of kitne,Copper,Cobalt,,INACTIVE,"2.6 MILLION TONNES AT AN AVERAGE GRADE OF 2.06X TOTAL COPPER, 1.37X ACID SOLUBLE COPPER (HKANA DIVISION,1990); AND 0.05X COBALT IN AREAS NOT UNDERMINED BY STOPING (FREEMAN, 1988).",STRATIFROM COPPER SULPHIDES AND OXIDES IN LOWER ROAN,"Rock types: SANDSTONE, SCHIST, SHALE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE; Formation: BEARING FORMATION.",54.73536236,0.781933748
CHAMBISHI NINE,-12.5833,28.0333,Copperbelt Province,Chambishi,Copperbelt > Chambishi,"Northern Copperbelt, In Chambishi Ml19",Chambishi,Midway between kitne and Chingola,Copper,,,UNKNOWN,ON CARE-AND-MAINTENANCE.,"ALL MINERALIZED MATERIAL AT CHAMBISHI IS CURRENTLY CLASSIFIED AS RESOURCESTOTAL RESOURCES IN THE CHAMBISHI MAIN AND WEST DEPOSITS AS AT THE END OF MARCH 1990 , AS ESTIMATED BY NKAMA DIVISION , WERE 10224 MILLION TONKES AT A GRADE OF 236% TOIL ONE RESERVES IN 1988 WERE: FULLY DEVELOPED - 542,000 T @ 302% TOTAL COPPER; PARTLY DEVELOPED - 506,000 T GRADING 320% TOTAL CU; UNDEVELOPED - 28 MILLION T @ 268% TOTAL CU",STRATIFORM COPPER MINERALIZATION IN LOWER ROAM OF KATANGA SYSTEM.,20.66117252,0.295159607
CHAMBISHI SOUTHEAST,-12.4533,28.1078,Luapula Province,Luapula Province,Luapula,"Central Copperbelt, In Chambishi Ml 19",Luapula Province,"18 KM nu of Kitwe, and 8 KM SE of the Chambishi main oreboy",Copper,Cobalt,,INACTIVE,"NKAMA DIVISION PROVIDED AN ESTIMATE OF RESERVES AT CHAMBISHI SE IN THEIR BIENNIAL REPORT FOR THE PERIOD ENDING 31 MARCH 1990 AS FOLLOWS: CHAMBISHI SE (NORTH): 38.3 MILLION TONNES @ 2.42X TCU. CHAMBISHI SE (SOUTH): 6.3 MILLION TONNES @ 2.23X TCU. FREEMAN (1988) ESTIMATED THAT IN A MU-TRENDING AREA SOME 8,000 M LONG BY 1,000-2,000 M WIDE THERE MAY BE 55.4 MILLION TONNES AVERAGING 2.42X CU IN A ""MIGH GRADE"" SECTOR, AND A FURTHER 50.4 MILLION TONNES @ 1.63X CU IN A ""LOV GRADE"" ZONE. WITHIN THOSE TWO DEPOSITS THERE MAY BE 16 MILLION TONNES @ 0.15X CO AND 26 MILLION TONNES @ 0.10X CO RESPECTIVELY.",STRATIFORM COPPER OCCURRING AS DISSEMINATED COPPER & COBALT SULPHIDES,"Rock: Quartzite, Dolomite; Formation: Ore Formation",29.3635908,0.419479869
CHIBULUNA (EAST AND WEST),28.1167,-12.7667,Western Province,"Central Copperbelt, In Chibuluna Nl18","Western > Central Copperbelt, In Chibuluna Nl18","Central Copperbelt, In Chibuluna Nl18","Central Copperbelt, In Chibuluna Nl18",16 KM west of Kitwe,Copper,Cobalt,,UNKNOWN,IN SITU ONE RESERVES ESTIMATED BY NKAMA DIVISION AS AT 31 MARCH 1990 WERE: (1) AT CHIBULUNA EAST - 1.022 MILLION TOWERS @ 1.57% CU AND 0.75% CO. (2) AT CHIBULUNA WEST - 6.985 MILLION TOWERS @ 3.52% CU AND 0.16% CO. THE TOTAL FOR ALL UNDERGROUND SOURCES WAS 8.007 MILLION TOWERS @ 3.27% COPPER AND 0.19% CO. IN SITU RESOURCES WERE ESTIMATED AT 14.0 MILLION TOWERS AT 3.93% TOU.,STRATIFORM COPPER IN:LOWER ROAN,"Mineralization: COPPER, CHALCOPYRITE, PYRITE.",6287.541886,89.82202694
CHIBULUMA SOUTH,-12.8833,28.0833,Copperbelt Province,Copperbelt Province,Copperbelt,"Central-West Copperbelt, In Chibuluma Ml 39.",Copperbelt Province,10 KM south of kalalushi,Copper,,,INACTIVE,"DATA FROM DIAMOND DRILLING ENABLED A RESOURCE CALCULATION TO BE MADE IN 1977. VIZ: (i) SULPHIDES - 8.6 MILLION TONNES AT AN AVERAGE GRADE OF 4.46%; AND (ii) AN OXIDE CAPPING OF 2.5 MILLION TONNES GRADING 3.90% COPPER (FREEMAN, 1988). IN 1988, THE MINERALE SULPHIDE RESERVE WAS CALCULATED AT 6.024 MILLION TONNES AVERAGING 4.33% COPPER. METALLURGICAL TESTS WERE COMPLETED ON THE SULPHIDE MINERALIZATION, AND RECOVERIES AVERAGED 95%, WITH CONCENTRATE GRADES OF 45% OR BETTER.",STRATIFORM OXIDE AND SULPHIDE COPPER IN LOWER ROAN,"Rock types: QUARTZITE, GNEISS; Mineralization: COPPER, MALACHITE.",46.42747903,0.6632497
CHIFUBU,-12.9167,28.0667,Copperbelt Province,Copperbelt Province,Copperbelt,"Sm Edge Of Copperbelt, On South Line Of A Syncline Of Katawam Rocks",Copperbelt Province,1500 m south of the chibuluna south oreboxy,Copper,,,INACTIVE,"ACCORDING TO HANCOCK (1976) THE DEPOSIT CONTAINS 430,000 TONNES AT 3.73X TCU. HOWEVER, FREEMAN (1988) REPORTS THAT THE DEPOSIT CONSISTS OF TWO SUPERIMPOSED LENSES; AND THAT THE UPPER LENSE CONTAINS AN ESTIMATED 65,520 TONNES AVERAGING 2.55X COPPER, WHILE THE LOVER LENSE CONTAINS AN ESTIMATED 108,420 TONNES WITH AN AVERAGE GRADE OF 2.93X COPPER.",OXIDIZED AND SULFIDE STRATIFORM COPPER IN LOWER ROAN,"Rock types: QUARTZITE; Mineralization: CHALCOPYRITE, PYRITE.",48.67710397,0.6953872
ICHIMPE,12.6681,28.15,Southern Province,Chambishi,Southern > Chambishi,Chambishi - Ml19,Chambishi - Ml19,"[istance from nearest center: 12 KM mu of kitne, between mindola and Chambishi SE]",Copper,Cobalt,,INACTIVE,"THE DEPOSIT CONTAINS AN INDICATED RESOURCE ESTIMATED AT 3.1 MILLION TONNES WITH AN AVERAGE GRADE OF 1.78X COPPER EXTENDING DOMINARIO FROM 500 M VERTICAL DEPTH (FREEMAN,1988). THE DEEPEST BORENOLE, AT ABOUT 1100 M VERTICAL DEPTH, INTERSECTED A COBALT-BEARING ZONE OF COPPER MINERALIZATION WHICH ASSAYED 0.27X COBALT.",STRATIFORM COPPER-COBALT IN LOWER ROAN,"Rock types: GRANITE, QUARTZITE, GNEISS; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",2802.462174,40.03517392
NUTUNDU NORTH,-12.5,27.6167,Luapula Province,Copperbelt Province,Luapula > Copperbelt Province,Nufulira - Nl15,Copperbelt Province,10 KM SE of nufulira,Copper,,,INACTIVE,4.3 MILLION TONNES AT AN AVERAGE GRADE OF 1.44X COPPER.,STRATIFORM COPPER IN LOWER ROAN,"Rock types: GRANITE, SANDSTONE, QUARTZITE; Mineralization: COPPER, MALACHITE; Formation: AND THEN HIGHER KAYANGAN FORMATION.",25.59809572,0.365687082
NKANA DEPOSITS,-12.7367,28.1911,Copperbelt Province,Kitwe,Copperbelt > Kitwe,"Central Copperselt, Within The Kitwe City Limits",Kitwe,Near city of Kitwe,Copper,Cobalt,,INACTIVE,"ORE RESERVES AS AT 31 MARCH 1990 WERE 98.792 MILLION TONNES 2.33X COPPER AND 0.14X COBALT IN SITU. IN SITU RESOURCES TOTAL 437.0 MILLION TONNES AT A GRADE OF 2.23X, INCLUDING 14.0 MILLION TONNES AT 3.93X TCU AT CHIBULUMA AND CHIBULUMA SOUTH.",STRATFORM COPPER/COBALT IN LOWER ROAN GROUP,"Rock types: QUARTZITE, DOLOMITE, SHALE; Mineralization: CHALCOPYRITE, PYRITE; Formation: AN UNMINERALISED FACIES OF THE ONE FORMATION.",43.37283137,0.619611877
NKANA OXIDES,-12.8,28.2333,Copperbelt Province,Copperbelt Province,Copperbelt,"Nkana Division, Adjacent To Present Kike Workings",Copperbelt Province,2. 5 KM south of Kitwe,Copper,Cobalt,,INACTIVE,IN RESOURCES.,112 MILLION TONNES AT A GRADE OF 309% TCU AND 224% AS CU,STRATIFORM REFRACTORY OXIDE OR MIXED OXIDE/SULPFIDE COPPER MINERALIZATION.,51.07807507,0.729686787
NKANA WEST LIMB,-12.8033,28.2078,Copperbelt Province,Copperbelt Province,Copperbelt,Nkama - Nl3,Copperbelt Province,3 KM sm of kitne,Copper,,,UNKNOWN,"1927: ""PITTING"" WAS CARRIED OUT ALONG THE ENTIRE WEST LIMB OF THE NKAMA SYNCLINE. 1928: A DRILLING PROGRAMME WAS COMPLETED, CONSISTING OF 10 SHALLOW HOLES SPACED 600 - 1,000 M APART. SIX OF THE HOLES INTERSECTED MINERALIZATION, RANGING FROM 1.5X COPPER OVER 2 N TO 6.3X COPPER OVER 3 N. 1940: 4 HOLES WERE DRILLED. 1952-55: 7 HOLES WERE DRILLED. 1965-70: A DETAILED PITTING PROGRAMME WAS CARRIED OUT. 1969-84: AN ADDITIONAL 43 DRILL HOLES WERE COMPLETED. NEAR THE CHIBULUMA BOUNDARY, CLOSELY SPACED DRILLING WAS UNDERTAKEN IN ORDER TO LOCATE ANY SMALL, RICH FOOTWALL-TYPE OREGODY THAT MIGHT BE PRESENT. ONE HOLE INTERSECTED 3.28X CU OVER A VIDTH OF 9 N AT A DEPTH OF 60 N. LESSER VALUES WERE ENCOUNTERED IN 3 OTHER HOLES AT DEPTHS OF ABOUT 300 N IN SHALE OR INTERMEDIATE FOOTWALL. ANOTHER HOLE DRILLED 2,100 N TO THE EAST CUT LOWER VALUES OF 2.36X CU OVER 5 N AT A DEPTH OF 150 N.","A MAJOR EXPLORATION DRILLING PROGRAM IS PLANNED BY NKAMA DIVISION """"TO PROVE (THE) VIABILITY AND ECONOMIC LIMITS"""" OF THE WEST LIMB",Reserves: 7 MILLION T.,49.07297524,0.701042503
PITANDA,-12.5667,27.9833,Copperbelt Province,Chambishi,Copperbelt > Chambishi,Chambishi - Ml19,Chambishi,27 KM nm of kitne,Copper,,,INACTIVE,"ACCORDING TO FREEMAN (1988), IF CONTINUITY ALONG A 4 KM STRIKE LENGTH IS ASSUMED THERE COULD BE 15 MILLION TOWERS AT THE AVERAGE GRADE OF 1.70X IN A GENTLY DIPPING BOOT. HOWEVER, FREEMAN ALSO SUGGESTS THAT ""IT IS NOT LIKELY THAT THERE IS A SMALLER TOWNAGE IN A MORE IRREGULAR DISTRIBUTION"".",STRATIFORM COPPER IN LOWER ROAN,"Rock types: SHALE, CONGLOMERATE; Mineralization: COPPER.",14.93980542,0.213425792
TIMKERS (CHINTUANI),-12.8667,28.2,Copperbelt Province,Copperbelt Province,Copperbelt,"Central Copperbelt, Nkana Division",Copperbelt Province,10 KM SSW of kitne,Copper,,,INACTIVE,"100,000 TONNES AVERAGING 3.0X TOTAL COPPER, 2.7X ACID SOLUBLE COPPER IN A SMALL POO SURROUNDING THE DRILL INTERSECTION.",COPPER OXIDES AND SULPHIDES IN ROCKS OF THE NAVA SYSTEM,"Rock types: GRANITE, QUARTZITE, SCHIST; Mineralization: COPPER, MALACHITE.",53.06140848,0.758020121
NCHANGA NINE,-12.42,27.7908,Luapula Province,Luapula Province,Luapula,"Northwestern Copperbelt, In Nchanga Ml10",Luapula Province,48 KM NW of kitne,Copper,Cobalt,,UNKNOWN,111.57 MILLION TONNES OF COPPER ORE AVERAGING 3.95% TOTAL COPPER AND 1.67% ACID SOLUBLE COPPER; AND 14.8 MILLION TONNES OF COBALT ORE AVERAGING 0.57% COBALT AND 0.06% ACID SOLUBLE COBALT; AS AT 1ST APRIL 1990.,STRATIFORM COPPER IN LOWER ROAN,"Rock: Granite, Sandstone; Minerals: Copper; Formation: Roam Group",14.14154562,0.20202208
LUKULU RIVER,-12.5667,30.8833,Muchinga Province,Muchinga Province,Muchinga,Serenje Group,Muchinga Province,84 KM NE of Serenje,Manganese,,,INACTIVE,NONE,SUPERGENE VEIN TYPE,"Rock types: GRANITE, SCHIST.",329.2518651,4.703598072
KASANKA,-12.6667,30.1667,Muchinga Province,Muchinga Province,Muchinga,On The North Floating Kasanka Tributary Of The Mulenbo River,Muchinga Province,30 KM west of kafinda,Diamond,,,INACTIVE,NIL,BARREN KIMBERLITES,"Rock types: SANDSTONE, QUARTZITE, SHALE; Formation: SILTSTONES AND SANDSTONES OF THE RUNDELUNGU SERIES OF THE KATANGA SUPERGROUP.",251.8342078,3.597631539
MLENBO,-12.5,30.0833,Northern Province,Muchinga Province,Northern > Muchinga Province,"Located In The Nook On The Mlenbo River, 30 Km North Of Mamado Chipeum",Muchinga Province,85 KM nhw of serenae,Iron,,,INACTIVE,15 MILLION T @ 44.2X FE TO 32.5 M DEPTH AS ESTIMATED BY CHARTERED EX.,REPLACEMENT-TYPE IRON FORMATION,Mineralization: IRON; Formation: BUT THOUGHT TO REPLACE SNALE OF THE KALOMGA FORMATION.,242.4610607,3.463729438
KAPAMBA,-12.9203,31.3419,Muchinga Province,Muchinga Province,Muchinga,"West Of The Luangwa River, South Luangwa National Park",Muchinga Province,135 KM west of Serenje,Diamond,,,INACTIVE,"P2 IS THE BEST OF THE PIPES WITH A LOW GRADE RESOURCE IN AN AREA 165,000 SO. M, APPROX. TOX DIAMOND|FEROUS KINGERLITE, GRADE 0.265 C/100 T.",DIAMOND|FEROUS LAMPROITES,Rock types: METASEDIMENT; Mineralization: DIAMOND.,381.1803424,5.445433462
KAMANJEEVA GROUP,-12.4167,32.6667,Muchinga Province,Muchinga Province,Muchinga,Rear Lundazi-Mbuzi Road,Muchinga Province,Approximately 70 KM west of Lundazi,Aquamarine,,Quartz,ACTIVE,UNKNOWN,BERYL PERMATITÉS,Mineralization: MAGNETITE; Formation: THIS IS AN AREA OF NUMEROUS PERMATITES CALLED THE KAMANJEEVA GROUP.,523.098105,7.472830071
LUNDAZI AREA,-12.0036,32.2592,Muchinga Province,Muchinga Province,Muchinga,Very Large Area Around Lundazi,Muchinga Province,"From Lundazi: NE 20 KM, west 60 KM, east to malaki and sm 120 KM",Aquamarine,Beryl,Mica,ACTIVE,"UNKNOWN, BUT UNDOUBTEDLY LARGE IN TERMS OF LOCAL MINING. WOMANS SEEN INDIVIDUAL STONES UP TO APPROX. 10 G IN WEIGHT, IN A TOTAL OF APPROX. 3 KG OF HIGH QUALITY PRODUCT OBTAINED FROM A NUMBER OF SOURCES BY ONE ILLEGAL BUYER. THE MINES DEPARTMENT (U: SMETA, PERSONAL COMMUNICATION) SUGGESTED THAT THE GROSS VALUE OF ROUGH AQUAMARINES COULD BE IN THE US$ 20 TO 40 MILLION RANGE PER ANNUAL APART FROM THE MAIDA PROBLEM OF UNRECORDED PRODUCTION IN ASSESSING RESERVES, THE DIFFICULTY OF MINING THE HARD ROCK IS A CRITICAL FACTOR TO BE WEIGHED AGAINST THE FREQUENCY OF GEN MATERIAL, AND MUCH OF THE CURRENT MINING IS QUESTIONABLY PROFITABLE.",PEGMATITE,Rock types: GNEISS; Formation: OFTEN OCCUR IN GROUP.,482.6807761,6.895439658
NUSHIMA (NORTH LUANGUA),-12.2,32.0833,Muchinga Province,Muchinga Province,Muchinga,In South Part Of North Luangwa Game Reserve,Muchinga Province,125 KM west of Lundazi,Diamond,,,INACTIVE,MIL,CLUSTER OF KIMBERLITES,Mineralization: DIAMOND; Formation: 1 GROUP.,461.2893268,6.589847526
,-12.5833,32.75,Muchinga Province,Muchinga Province,Muchinga,Lundazi Area,Muchinga Province,80 KM sm of Lundazi,Gold,Beryl,,INACTIVE,"APPROX. 1,270 CU M OF GOLD BEARING GRAVELS",PERMATITE AND QUARTZ VEIN AREA,Rock types: METASEDIMENT; Mineralization: GOLD; Formation: THE PROMINENT HILLS ARE UNDERLAIN BY THE MAFINGI GROUP.,531.8417573,7.597739391
MACHINJE,-12.5833,32.6667,Muchinga Province,Muchinga Province,Muchinga,Luxusuzu Game Reserve,Muchinga Province,72 KM SW of Lundazi,Iron,,,INACTIVE,NIL,MAGNETITE-NEWATITE DEPOSIT IN ONEISS,SMALL IRON DEPOSIT.,522.7980822,7.468544031
PANELA,-12.9167,32.1667,Muchinga Province,Muchinga Province,Muchinga,Area Surrounds The Former Line Works Near The Managazi River,Muchinga Province,75 KM nm of Chipata 20 KM east of the Chipata-msefu road,Diamond,,,INACTIVE,MIL,KIMBERLITE CLUSTER,TWO DIAMONDIFEROUS PIPES.,470.1330656,6.716186652
LANGUE GROUP,-12.8667,32.4833,Muchinga Province,Muchinga Province,Muchinga,Luxusuzi National Park No. 3,Muchinga Province,100 KM SW of Lundazi,Gold,Copper,,INACTIVE,NONE,HYDROTHERMAL (?) VEINS,"Rock types: SCHIST; Mineralization: COPPER, GOLD; Formation: THERMAL EVENTS AND UPPER PROTEROZOIC DEFORMATION.",503.9569338,7.199384768
ARIES AND ARIES II,-12.2,33.1667,Eastern Province,Lundazi,Eastern > Lundazi,North Of Lundazi,North Of Lundazi,8 KM north of Lundazi,Aquamarine,Beryl,Amethyst,UNKNOWN,UNKNOWN,BERYL-MICA PEGNATITES,"Rock types: GNEISS; Mineralization: MAGNETITE, HEMATITE.",578.6475719,8.266393884
MANDA HILL GROUP,-11.5,33.1833,Eastern Province,Lundazi,Eastern > Lundazi,Manda Hill Area North Of Lundazi,Manda Hill Area North Of Lundazi,80 KM north of Lundazi,Aquamarine,Beryl,Niobium,UNKNOWN,UNKNOWN,MICA PEGMATITE,Formation: THE SOUTHERNMOST OF THE GROUP.,591.2978081,8.447111544
DIPALATA (LUNTUME),13.0036,22.7564,Western Province,Zambezi,Western > Zambezi,The Area Adjoins Angola East Of The Zambezi River,The Area Adjoins Angola East Of The Zambezi River,The south boundary is approximately 15 KM north of the zambezi river,Diamond,,,INACTIVE,MIL,ALLUVIAL DIAMOND LOCALITY,"Rock types: GRANITE, QUARTZITE; Mineralization: DIAMOND.",2894.592496,41.35132138
DONGWE,-13.8372,23.7569,North-Western Province,North-Western Province,North-Western,Follows The Dongue River For 150 Km,North-Western Province,Extends from mushina in the east to watopa ferry in the west,Diamond,Copper,,INACTIVE,UNKNOWN,DIAMOND OCCURRENCE,KATANGA SYSTEM SEDIMENTARY,466.2311385,6.660444835
INVATI,-13.5333,24.8833,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,16 KM SW of kalengua,Copper,,,INACTIVE,MIL,INSIGNIFICANT COPPER OCCURRENCE,"Rock types: SANDSTONE, CONGLOMERATE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",340.0684558,4.858120797
KAWARA - LUAMAKANBIE GROUP,-13.9333,24.8667,North-Western Province,Kasempa,North-Western > Kasempa,Kasempa Salient,Kasempa,113 KM sm of Kasempa (south of domone river),Copper,Gold,,INACTIVE,NONE,HYDROTHERMAL VEINS WITH ASSOCIATED SILICIFICATION AND SULPHIDE MINERALIZATION,ACID INTRUSIVES INTO KUNDELUNGU CLASTIC SEDIMENTS,358.4792389,5.121131984
KARIBAREHBI,-13.9,25.0333,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,49 KM south of kalengua,Copper,Gold,,INACTIVE,NIL,EPIGENETIC SEDIMENT-HOSTED GOLD AND COPPER,Formation: THE PREDOMINANT LITHOLOGY IS A DARK GREY ARGILLITE WHICH IS PROBABLY PART OF THE KUNDELUNGU SERIES.,340.6685729,4.866693898
D:\RJ1,-13.9167,24.8333,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,53 KM SW of kalengua,Copper,Gold,,INACTIVE,NIL,VEIN COPPER,SUPERGENE ENRICHED.,360.9491852,5.156416931
CHIHEMA,-13.9333,24.8833,North-Western Province,North-Western Province,North-Western,Icalengua Area,North-Western Province,52 KM SSW of kalengua,Copper,,,INACTIVE,NIL,STRATIFORM VEIN COPPER - SUPERGENE ENRICHED,"Rock types: SANDSTONE, QUARTZITE; Mineralization: MALACHITE.",356.8551265,5.097930379
MUFUNBUE,-25,24.7833,Northern Province,Kalengua Area,Northern > Kalengua Area,Kalengua Area,Kalengua Area,30 KM SW of kalengua,Copper,Silver,,INACTIVE,"CONSERVATIVELY ESTIMATED BY FREEMAN (1988) AT 7.22 MILLION TONNES GRADING 2.2X COPPER, CONTAINED IN FIVE DEPOSITS: MUFUNBUE EAST, 4.1 MILLION TONNES a 2.4X COPPER; NO. 2, 1.5 MILLION TONNES a 1.5X COPPER; NO. 3, 1.5 MILLION TONNES a 2.5X COPPER; NO.4, 0.075 MILLION TONNES a 2.6X COPPER; NO. 5, 0.05 MILLION TONNES a 3.0X COPPER.",STRATIFORM COPPER - SUPERGENE ENRICHED,Rock types: QUARTZITE.,1423.143406,20.33062008
MUSONDUEJI,-13.2536,24.7569,North-Western Province,North-Western Province,North-Western,Embraces The Musondueji River North Of The Dongue River,North-Western Province,The kalengua mine road runs along the west side of the PL,Diamond,Copper,,INACTIVE,UNKNOWN,DIAMOND OCCURRENCE,Rock: Granite,344.6911818,4.92415974
ALAFUTA AND DONGUE BERYL,-13.5039,23.5069,North-Western Province,North-Western Province,North-Western,General Area Of The Dongue And Lalafuta Rivers,North-Western Province,Central part of the area is 40 KM south of kabohpo,Beryl,,,INACTIVE,MIL,PEGMATITE,"SMALL CRYSTALS OF BERYL ARE REPORTED IN PEGMATITES AT SEVERAL LOCALITIES INCLUDING: DONGUE 2, ON THE...",482.7208594,6.896012276
KANNEJI,-13.8833,24.3667,North-Western Province,Kabompo,North-Western > Kabompo,35 Km Se Of Kabompo,Kabompo,82 KM sm of kalekuna,Copper,,,INACTIVE,NIL,STRATIFORM COPPER,"Rock types: QUARTZITE; Mineralization: COPPER, MALACHITE, DIAMOND.",405.8531639,5.797902341
KALENGUA,-13.65,24.7,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,0,Copper,Silver,,INACTIVE,"ESTIMATED BY FREEMAN (1988) AT 1.3 MILLION TONNES GRADING 2.5X COPPER. THE ORE IS CONTAINED IN TWO DEPOSITS: KALENGUA MAIN, 0.8 MILLION TONNES a 2.5X COPPER; KALENGUA SOUTH, 0.5 MILLION TONNES a 2.5X COPPER.",STRATIFORM COPPER - SUPERGENE ENRICHED,"Rock types: SHALE; Mineralization: MALACHITE, AZURITE; Formation: THE HOST ROCKS ARE KUNDELUNGU SERIES.",363.0474731,5.186392473
INVATI,-13.5333,24.8833,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,16 KM SW of kalengua,Copper,,,INACTIVE,MIL,INSIGNIFICANT COPPER OCCURRENCE,"Rock types: SANDSTONE, CONGLOMERATE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",340.0684558,4.858120797
KAWARA - LUAMAKANBIE GROUP,-13.9333,24.8667,North-Western Province,Kasempa,North-Western > Kasempa,Kasempa Salient,Kasempa,113 KM sm of Kasempa (south of domone river),Copper,Gold,,INACTIVE,NONE,HYDROTHERMAL VEINS WITH ASSOCIATED SILICIFICATION AND SULPHIDE MINERALIZATION,ACID INTRUSIVES INTO KUNDELUNGU CLASTIC SEDIMENTS,358.4792389,5.121131984
