Property_Name,Latitude,Longitude,District/Town,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,Province,District/Town_Original
EXCELSIOR ZINC,-15.416666666666666,28.166666666666668,Lusaka,15-20 KM WEST OF LUSAKA,ZINC,SILVER,None,INACTIVE,NIL,CARBONATE-HOSTED VEIN,"Willemite in coarse calcite veins in dolomite. Avg 40% Zn, 78 g/t Ag.",322.4309516237371,4.6061564517676725,Lusaka,LUSAKA DISTRICT
STAR ZINC,-15.3,28.233333333333334,Lusaka,19 KM NORTH OF LUSAKA,ZINC,None,None,ACTIVE (SMALL MINING),"Eastern Body: 73,000 T @ 16.5% Zn. Western: 118,200 T @ 21.58% Zn [cite: 1175].",CARBONATE-HOSTED ZINC SILICATE,Two flat tabular bodies of willemite in massive limestone [cite: 1181-1182].,310.41197365987443,4.434456766569634,Lusaka,LUSAKA DISTRICT
CHISAMBA (RMC 108/109),-15.35,28.9,Chongwe,70 KM ESE OF LUSAKA,GOLD,None,None,INACTIVE,NIL,HYDROTHERMAL QUARTZ VEIN,System of N-trending quartz veins 0.3-0.9m wide.,333.06640027680106,4.758091432525729,Lusaka,CHONGWE AREA
KASISI (MO 262),-15.333333333333334,28.466666666666665,Lusaka,28 KM NE FROM LUSAKA,GOLD,COPPER,None,INACTIVE,NIL,HYDROTHERMAL QUARTZ VEIN (?),Sugary quartz boulders with weathered iron oxides. One 14.1% Cu/0.85 g/t Au [cite: 1254-1255].,318.3814043624637,4.548305776606624,Lusaka,LUSAKA AREA
MOOLA (MO 297),-15.0,28.0,Lusaka,35 KM SW OF LUSAKA,GOLD,None,None,INACTIVE,UNKNOWN,QUARTZ VEINS,Brecciated quartz veins over 3.2 sq km. Best sample 1.7 g/t Au [cite: 1290-1293].,274.7624358434806,3.9251776549068658,Lusaka,LUSAKA AREA
KATUBA,-15.083333333333334,28.116666666666667,3 Km West Of Great North Road,25-30 KM NORTH OF LUSAKA,COPPER,GOLD,None,INACTIVE,Resource 15 Million T @ 0.2-0.4% Cu.,DISSEMINATED COPPER,Lenticular sheared amphibolite in granite gneiss. 6 zones 0.54-2.09% Cu.,285.0088256641777,4.071554652345396,Unknown,3 KM WEST OF GREAT NORTH ROAD
UMFONDESI (MO 273),-15.9,28.633333333333333,Lusaka,30 KM SE OF LUSAKA,GOLD,COPPER,SILVER,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,"Quartz vein 1.8m x 0.2m. 11.9% Cu, 5.5 g/t Au, 11 g/t Ag [cite: 1370-1372].",383.76061559381,5.482294508482999,Lusaka,LUSAKA GOLD LINEAMENT
CHIPONGWE (RMC 214),-15.683333333333334,28.483333333333334,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,GOSSANS,Mapompo limestones with massive hematitic lenses. Gossans with traces Au [cite: 1376-1377].,356.86253073960114,5.098036153422873,Lusaka,LUSAKA GOLD LINEAMENT
RMC 224,-15.816666666666666,28.616666666666667,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,DIABASE,"Diabase intrusive. 0-2 g/t Au, 2.7-6% Cu [cite: 1374-1375].",374.32985206521363,5.347569315217338,Lusaka,LUSAKA GOLD LINEAMENT
MO 284,-15.633333333333333,28.466666666666665,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,QUARTZITE,Rubble of Cu-bearing quartzite assayed < 0.2 g/t Au [cite: 1378-1379].,351.06377895736983,5.01519684224814,Lusaka,LUSAKA GOLD LINEAMENT
SACHIMUNDU,-15.616666666666667,28.45,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,VEINLETS,Small quartz veinlets cutting limestones < 0.5 g/t Au [cite: 1380-1381].,348.9069562320574,4.9843850890293915,Lusaka,LUSAKA GOLD LINEAMENT
RMC 194 (MO 266),-15.45,28.333333333333332,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,VEIN,550m+ quartz vein in Lusaka Dolomite. Sample 1.6 g/t Au [cite: 1382-1383].,328.48715047497654,4.692673578213951,Lusaka,LUSAKA GOLD LINEAMENT
CORAL REEF (MO 289),-15.566666666666666,28.35,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,SILICIFIED BAND,"Silicified band with Cu. Sample 2% Cu, 0.5 g/t Au [cite: 1384-1385].",341.57868610970326,4.879695515852903,Lusaka,LUSAKA GOLD LINEAMENT
KAMPOKOLA (MO 288),-15.6,28.4,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,VEIN,"Vein up to 0.9m wide. At 10m depth, 0.3m reported 2 g/t Au [cite: 1387-1388].",346.1217525629282,4.944596465184688,Lusaka,LUSAKA GOLD LINEAMENT
LUKWANDA (MO 287),-15.616666666666667,28.416666666666668,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,QUARTZITE,"Quartz rich facies with malachite. Sample 0.5 g/t Au, 6.5% Cu [cite: 1389-1390].",348.2582340241608,4.975117628916583,Lusaka,LUSAKA GOLD LINEAMENT
RMC 226,-15.65,28.433333333333334,Lusaka,nan,GOLD,None,None,INACTIVE,UNKNOWN,QUARTZITE,"Basal quartzite. Avg 10 samples 2.6% Cu, < 0.1 g/t Au [cite: 1391-1392].",352.22353165178015,5.031764737882574,Lusaka,LUSAKA GOLD LINEAMENT
CHUMBWE,-15.566666666666666,28.833333333333332,Lusaka,64 KM ESE OF LUSAKA,GOLD,None,None,INACTIVE,"Rough est 17,000 T @ 7.8 g/t Au.",HYDROTHERMAL QUARTZ VEIN,Auriferous quartz vein in fault. Surface enriched (51.4 g/t). Three shoots [cite: 1446-1450].,353.5756637625881,5.0510809108941155,Lusaka,LUSAKA AREA
MITABA SERPENTINITE,-15.666666666666666,28.966666666666665,South Of Mitaba River,90 KM SE OF LUSAKA,NICKEL,None,None,INACTIVE,1.14 Million T @ 0.64% Ni (to 9.1m depth)[cite: 1506].,SURFACE ENRICHED NICKEL,"Peak Ni in serpentinite (up to 1% near surface), dropping to 0.3-0.4% at depth.",368.6338626815714,5.266198038308162,Unknown,SOUTH OF MITABA RIVER
TASARU (MO 270),-15.65,28.75,Mpande Dome Area,75 KM SE OF LUSAKA,GOLD,COPPER,None,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,Quartz vein 0.3-0.4m exposed 250m. Dump material 12.3 g/t Au [cite: 1568-1569].,359.8934761291808,5.1413353732740115,Unknown,MPANDE DOME AREA
MOQUISE (MIKWIZI),-15.533333333333333,28.633333333333333,Lusaka,38 KM EAST OF LUSAKA,GOLD,None,None,INACTIVE,NONE,ELUVIAL GOLD,Eluvial gold overlying limestones of Cheta Group. Minor pyrite/malachite.,344.12222943588915,4.91603184908413,Lusaka,LUSAKA AREA
SONDERA (MO 301),-15.75,28.75,Mpande Dome,62 KM SE OF LUSAKA,GOLD,None,None,INACTIVE,NONE,HYDROTHERMAL VEIN,Ferruginous quartz vein cutting schists/gneiss. Avg 15 samples 2.2 g/t Au [cite: 1634-1636].,370.6073535079809,5.2943907643997274,Unknown,MPANDE DOME
MVULA (COPPER),-15.833333333333334,28.633333333333333,Kafue,50 KM SE OF LUSAKA,COPPER,GOLD,SILVER,INACTIVE,NIL,DOLOMITE BRECCIA-HOSTED,Brecciated dolomitic siltstone to marble. Gold up to 6 g/t.,376.53565827045804,5.379080832435115,Lusaka,EAST OF KAFUE-CHIRUNDU ROAD
MPANDE (COPPER),-15.666666666666666,28.4,Kafue,50 KM SE OF LUSAKA,COPPER,GOLD,SILVER,INACTIVE,NIL,DOLOMITE BRECCIA-HOSTED,Best result 0.75% Cu over 7.23m.,353.4258524516574,5.048940749309391,Lusaka,EAST OF KAFUE-CHIRUNDU ROAD
CHIPONGWE IRON,-15.616666666666667,28.25,9 Km East Of Chipongwe Siding,29 KM SOUTH OF LUSAKA,IRON,None,None,INACTIVE,"Rubble: 40,000 T @ >65% Fe [cite: 1692].",SEDIMENTARY IRON FORMATION,Rubble of massive specularite over nose of NW plunging anticline [cite: 1698-1699].,345.557696094713,4.936538515638757,Unknown,9 KM EAST OF CHIPONGWE SIDING
KESYA,-15.9,28.45,North Side Of Kesya River,32 KM SSE OF KAFUE,COPPER,RARE EARTHS,None,INACTIVE,NIL,CARBONATITE,"Two lopolith-shaped carbonatites described by BRGM. Stream sed 380 ppm Cu, 370 ppm Ni[cite: 1727].",379.90344438208217,5.427192062601174,Unknown,NORTH SIDE OF KESYA RIVER
MKWISHI,-15.666666666666666,28.5,Lusaka,35 KM SE OF LUSAKA,COPPER,NIOBIUM,RARE EARTHS,INACTIVE,NONE,CARBONATITE,See comments re Kesya.,355.3942592225502,5.0770608460364315,Lusaka,LUSAKA DISTRICT
MUNALI,-15.9,28.116666666666667,Kafue,64 ROAD KM SSW OF LUSAKA,NICKEL,COPPER,PLATINUM,DORMANT,Indicated: 2.06M T @ 1.1% Ni. MRD (1989) Geological East Zone: 13.45M T @ 1.07% Ni[cite: 3013].,LENSOID NICKEL SULPHIDE,"Ni mineralization at contact of Munali Gabbro. Sulphides pyrrhotite, pentlandite [cite: 3053-3058].",375.4614562775947,5.363735089679925,Lusaka,MUNALI HILLS (S OF KAFUE RIVER)
MWIRI COPPER,-15.683333333333334,28.133333333333333,Kafue,27 KM SOUTH OF LUSAKA,COPPER,None,None,INACTIVE,NONE,STRATIFORM COPPER,Trench assayed 2.49% Cu over 8.2m. Best drill 1.10% Cu over 0.5m.,351.5975015569229,5.0228214508131845,Lusaka,KAFUE FLATS
NICKEL ANOMALY 'Y',-15.533333333333333,28.066666666666666,15 Km E Of Nampundwe,27 KM SW OF LUSAKA,NICKEL,None,None,INACTIVE,NIL,DISSEMINATED NICKEL IN ULTRABASIC,Gabbro-peridotite. Best drill intercept 0.9% Ni from 50.8m.,334.406095101256,4.777229930017943,Unknown,15 KM E OF NAMPUNDWE
FUNSWE (MO 278),-15.75,28.433333333333334,Mpande Dome,40 KM SSE OF LUSAKA,GOLD,COPPER,None,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,Poorly exposed veinlets 0.6m width with 4 g/t Au[cite: 3216].,363.16720109208023,5.188102872744003,Unknown,MPANDE DOME
KECHIVERE (MO 294),-15.7,28.3,Mpande Dome,40 KM SSE OF LUSAKA,GOLD,None,None,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,Float-rubble assayed 3 g/t Au[cite: 3218].,355.4480285644572,5.077828979492246,Unknown,MPANDE DOME
MUCHITO (MJUTO / MO 298),-15.616666666666667,28.366666666666667,Mpande Dome Area,25 KM SOUTH OF LUSAKA,GOLD,None,None,INACTIVE,"12,000 cu m gravel. Best 0.4 g/t Au [cite: 3252-3254].",PLACER GOLD,Alluvial plain. Mean gold concentrations <0.1 g/t.,347.3526375237348,4.962180536053355,Unknown,MPANDE DOME AREA
NAMILO (MOCHITO / MO 292),-15.616666666666667,28.366666666666667,Mpande Dome Area,nan,GOLD,None,None,INACTIVE,NIL,VEIN,"Vein 100m long. Values up to 30 g/t, avg 1.5 g/t[cite: 3246].",347.3526375237348,4.962180536053355,Unknown,MPANDE DOME AREA
MAPOMPO (MO 280),-15.616666666666667,28.366666666666667,Mpande Dome Area,nan,GOLD,None,None,INACTIVE,NIL,PLACER GOLD,Alluvial occurrence.,347.3526375237348,4.962180536053355,Unknown,MPANDE DOME AREA
NAMOLA (MO 300),-15.616666666666667,28.366666666666667,Mpande Dome Area,nan,GOLD,None,None,INACTIVE,NIL,PLACER GOLD,Alluvial occurrence.,347.3526375237348,4.962180536053355,Unknown,MPANDE DOME AREA
MVULA (CORUNDUM),-15.25,29.033333333333335,Kafue,nan,CORUNDUM,None,None,INACTIVE,NIL,CONTACT METAMORPHIC,Corundum crystals (up to 4cm) in pockets in contact zone[cite: 3311].,327.972770782891,4.685325296898443,Lusaka,8 KM NNW OF KAFUE/KALEYA JCT
RUFUNSA CORUNDUM (MO 162),-15.25,29.033333333333335,Rufunsa,nan,CORUNDUM,None,None,INACTIVE,NIL,CONTACT METAMORPHIC,Two localities. Crystals up to 1cm associated with kyanite [cite: 3313-3314].,327.972770782891,4.685325296898443,Lusaka,9 KM NW OF RUFUNSA
MUGOTO (MO 306),-15.25,29.033333333333335,4 Km W Of Chakela Hill (Nega Nega R.),nan,MICA,CORUNDUM,None,INACTIVE,NIL,PEGMATITE,"Pegmatite dykes worked for mica, contain poor quality corundum [cite: 3316-3317].",327.972770782891,4.685325296898443,Unknown,4 KM W OF CHAKELA HILL (NEGA NEGA R.)
KAURASHISHI EAST (MO 137),-15.35,29.8,Rufunsa,33 KM SSE OF RUFUNSA,COPPER,GOLD,BISMUTH,INACTIVE,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,Vein 122m x 3m. Central portion assayed 4.6 g/t Au[cite: 3340].,377.3211487212937,5.39030212458991,Lusaka,RUFUNSA AREA
MO 140,-15.5,29.666666666666668,Rufunsa,85 KM S OF GREAT EAST ROAD,COPPER,GOLD,None,INACTIVE,NIL,METAVOLCANICS,Grab samples 2.4% Cu / 1.5 g/t Au[cite: 3385].,383.69733256479793,5.481390465211399,Lusaka,KANGALUWI GROUP (S OF RUFUNSA)
MO 141 (CHIWJYU),-15.5,29.666666666666668,Kangaluwi Group,85 KM S OF GREAT EAST ROAD,GOLD,None,None,INACTIVE,NIL,EPIDOTE-TOURMALINE STOCKWORK,High Au values. Main shaft 3.57% Cu over 10m [cite: 3386-3387].,383.69733256479793,5.481390465211399,Unknown,KANGALUWI GROUP
CHIWJYU EAST EXTENSION,-15.5,29.666666666666668,Kangaluwi Group,nan,COPPER,None,None,INACTIVE,NIL,VEIN,Orebody average 3.9% Cu over 3.5m[cite: 3387].,383.69733256479793,5.481390465211399,Unknown,KANGALUWI GROUP
KANGALUWI / KALULU (MO 142/143),-15.5,29.666666666666668,Kangaluwi Group,85 KM S OF GREAT EAST ROAD,COPPER,GOLD,None,INACTIVE,NIL,QUARTZITE/SCHIST,5km strike disseminated malachite. Assays to 8.1% Cu [cite: 3388-3389].,383.69733256479793,5.481390465211399,Unknown,KANGALUWI GROUP
MO 144,-15.5,29.666666666666668,Kangaluwi Group,85 KM S OF GREAT EAST ROAD,COPPER,None,None,INACTIVE,Resource 1.5 Million T @ 0.5% Cu.,QUARTZITE,Disseminated chalcocite 300 x 5m. Best drill 0.57% Cu over 9.5m [cite: 3395-3396].,383.69733256479793,5.481390465211399,Unknown,KANGALUWI GROUP
CHISUA (MO 145),-15.5,29.666666666666668,Kangaluwi Group,85 KM S OF GREAT EAST ROAD,COPPER,None,None,INACTIVE,NIL,PHYLLITE,Disseminated malachite. Adit #2: 1.59% Cu over 4.9m [cite: 3398-3400].,383.69733256479793,5.481390465211399,Unknown,KANGALUWI GROUP
CHAKWENGA BERYL (MO 148),-15.5,29.583333333333332,Chakwenga River,45 KM SOUTH OF RUFUNSA,BERYL,AMAZONITE,None,INACTIVE,UNKNOWN,BERYL PEGMATITE,Float from pegmatite dykes. Amazonite patchy over 30m [cite: 3444-3446].,379.1851632257702,5.416930903225289,Unknown,CHAKWENGA RIVER
KAMAKONDE (MO 155),-15.4,29.633333333333333,Kamakonde Group,120 KM EAST OF LUSAKA,COPPER,GOLD,None,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,Two quartz veinlets. Best grab 16.4% Cu and 2.4 g/t Au[cite: 3474].,372.33252663437145,5.319036094776735,Unknown,KAMAKONDE GROUP
RMC 141 (KAMAKONDE),-15.45,29.633333333333333,Kamakonde Group,nan,COPPER,GOLD,SILVER,INACTIVE,UNKNOWN,LENSES/VEINS,"Grab samples 21.9% Cu, 0.5 g/t Au, 48 g/t Ag[cite: 3474].",377.0922011062096,5.387031444374423,Unknown,KAMAKONDE GROUP
RMC 195 (KAMAKONDE),-15.416666666666666,29.683333333333334,Kamakonde Group,nan,COPPER,None,None,INACTIVE,UNKNOWN,LENSES,Mineralized lenses assayed 3.6% Cu and 2.4% Cu[cite: 3474].,376.7208277866426,5.381726111237751,Unknown,KAMAKONDE GROUP
RMC 146 (KAMAKONDE),-15.466666666666667,29.6,Kamakonde Group,nan,GOLD,None,None,INACTIVE,UNKNOWN,ELUVIAL/SHEAR,Eluvial occurrence. Best grab sample 11 g/t Au[cite: 3474].,376.8695038391343,5.383850054844776,Unknown,KAMAKONDE GROUP
RMC 145 (KAMAKONDE),-15.383333333333333,29.633333333333333,Kamakonde Group,nan,COPPER,None,None,INACTIVE,UNKNOWN,LENSES,Rubble and float similar to RMC 141[cite: 3474].,370.7509114852097,5.296441592645853,Unknown,KAMAKONDE GROUP
KYEBWE,-15.266666666666667,29.0,Chinyunyu Dome,80 KM EAST OF LUSAKA,GOLD,TUNGSTEN,None,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,"Brecciated quartz veins. Scheelite, wolframite, gold[cite: 1756].",328.30178239905393,4.690025462843628,Unknown,CHINYUNYU DOME
GEELONG MALUNDA,-15.0,29.0,Rufunsa,35 KM EAST OF RUFUNSA,GOLD,BISMUTH,None,INACTIVE,UNKNOWN,QUARTZ VEIN,Quartz veins 0.6-1.2m wide. Best value 1.4 g/t Au[cite: 1793].,301.0896517709148,4.301280739584498,Lusaka,RUFUNSA AREA
KAURASHISHI (MO 136),-15.333333333333334,29.766666666666666,Rufunsa,28 KM SSE OF RUFUNSA,GOLD,COPPER,BISMUTH,INACTIVE,UNKNOWN,HYDROTHERMAL QUARTZ VEINS,Five veins. Vein B (160m long) assayed 4.8 g/t Au over 4.4m [cite: 1827-1832].,373.78639606866795,5.339805658123828,Lusaka,RUFUNSA AREA
MOIYA (MO 149/152),-15.0,29.0,Zambezi,4 KM WEST OF CHAKWENGA,GOLD,None,None,INACTIVE,UNKNOWN,QUARTZ VEIN SEGREGATIONS,Quartz fragments over 213 x 152m. Values up to 170 g/t Au[cite: 1866].,301.0896517709148,4.301280739584498,North-Western,LOWER ZAMBEZI NATIONAL PARK
MISANGOMBE,-15.45,29.35,Rufunsa,104 KM EAST OF LUSAKA,COPPER,None,None,INACTIVE,NIL,SHEAR ZONE COPPER,Sheared quartzite. Zone 1.00-1.30% Cu over 4.6m [cite: 1896-1897].,362.4521231447311,5.177887473496159,Lusaka,RUFUNSA AREA
IKONDO KYAOSA,-15.5,29.316666666666666,Zambezi,100 KM EAST OF LUSAKA,GOLD,None,None,INACTIVE,NIL,ALLUVIAL OCCURRENCE,Gold in sediments of Ikondo River.,365.85811755776194,5.226544536539456,North-Western,WEST EDGE LOWER ZAMBEZI PARK
MUKONJE,-15.333333333333334,29.15,Head Of Musangashi River,90 KM EAST OF LUSAKA,GOLD,NICKEL,None,INACTIVE,NIL,NICKELIFEROUS GABBRO,Large ultramafic body. Best geochem 2750 ppm Ni.,341.493712066989,4.878481600956986,Unknown,HEAD OF MUSANGASHI RIVER
CHIBOLEKA (MO 175),-15.433333333333334,29.283333333333335,Lusaka,100 KM EAST OF LUSAKA,GOLD,None,None,INACTIVE,NIL,HYDROTHERMAL QUARTZ VEIN,Low gold values in tourmaline bearing quartz veinlets [cite: 1996-1997].,357.6292967107813,5.108989953011162,Lusaka,LUSAKA AREA
MUNYANJA (MO 308),-15.4,28.966666666666665,Lusaka,80 KM SE OF LUSAKA,GOLD,None,None,INACTIVE,NIL,HYDROTHERMAL QUARTZ VEIN,Quartz vein rubble assayed Nil to 6 g/t Au[cite: 1998].,340.77176384259894,4.86816805489427,Lusaka,LUSAKA AREA
KAIYENDA A,-15.0,29.0,Rufunsa,60 KM SE OF RUFUNSA,GOLD,COPPER,BISMUTH,INACTIVE,UNKNOWN,QUARTZ VEINS,Narrow stringers. Max 2.9 g/t Au[cite: 2036].,301.0896517709148,4.301280739584498,Lusaka,RUFUNSA AREA
KAIYENDA B,-15.0,29.0,Rufunsa,nan,GOLD,COPPER,BISMUTH,INACTIVE,UNKNOWN,QUARTZ VEINS,0.3m wide limonitic quartz vein assayed 36.7 and 24.3 g/t Au[cite: 2036].,301.0896517709148,4.301280739584498,Lusaka,RUFUNSA AREA
KAIYENDA C,-15.0,29.0,Rufunsa,nan,GOLD,COPPER,BISMUTH,INACTIVE,UNKNOWN,QUARTZ VEINS,Two 18m long veins. Selected samples up to 11 and 221 g/t Au[cite: 2037].,301.0896517709148,4.301280739584498,Lusaka,RUFUNSA AREA
KAIYENDA D,-15.0,29.0,Rufunsa,nan,GOLD,COPPER,BISMUTH,INACTIVE,UNKNOWN,QUARTZ VEINS,"0.09m wide quartz stringer. Assays 11.2, 4.5, 25.7, 43.2 g/t Au[cite: 2037].",301.0896517709148,4.301280739584498,Lusaka,RUFUNSA AREA
CHEOWA (MO 185),-15.533333333333333,29.116666666666667,Zambezi,145 KM SE OF LUSAKA,COPPER,GOLD,None,INACTIVE,"Oxide: 302,000 ST @ 2.25% Cu. Sulphide: 341,000 ST @ 4.25% Cu [cite: 2075-2076].",SHEAR ZONE,Major ENE shear zone. Adit X-cut averaged 2.20% Cu over 5.4m [cite: 2087-2091].,360.4824038170577,5.149748625957967,North-Western,15 KM NORTH OF ZAMBEZI RIVER
NENINGOMBE WEST (MO 181),-15.533333333333333,29.116666666666667,Cheowa Group Area,nan,COPPER,None,None,INACTIVE,Unknown.,SHEAR ZONE,Adit 23.8m long. Channels 0.75-6.0% Cu. Best gold 9.9 g/t [cite: 2092-2093].,360.4824038170577,5.149748625957967,Unknown,CHEOWA GROUP AREA
WEOCHA,-15.533333333333333,29.116666666666667,Cheowa Group Area,nan,COPPER,None,None,INACTIVE,Unknown.,SHEAR ZONE,Part of Cheowa structure.,360.4824038170577,5.149748625957967,Unknown,CHEOWA GROUP AREA
MPATA (GORGE) AREA,-15.5,30.0,Feira Prohibited Area,65 KM SE OF RUFUNSA,NICKEL,CHROME,PLATINUM,INACTIVE,NIL,ULTRABASIC DYKE,Hypersthene norites. Ni anomaly between 100 & 2000 ppm[cite: 2123].,403.247700642602,5.760681437751457,Unknown,FEIRA PROHIBITED AREA
PAULWI HILL,-15.6,29.416666666666668,Zambezi,120 KM ESE OF LUSAKA,NICKEL,COPPER,ASBESTOS,INACTIVE,NIL,SILICATE NICKEL MINERALIZATION,Ultrabasic complex. Serpentinite carries 0.2-0.3% Ni (silicates) [cite: 2214-2224].,380.56351014889975,5.436621573555711,North-Western,NORTH BANK OF ZAMBEZI RIVER
CHINDULWE,-15.516666666666667,29.233333333333334,Zambezi,100 KM EAST OF LUSAKA,COPPER,GOLD,None,INACTIVE,See Cheowa.,DISSEMINATIONS,Copper disseminations in basic metavolcanics. Cu and Au in quartz veins [cite: 2260-2262].,363.7486888182321,5.196409840260459,North-Western,WEST EDGE LOWER ZAMBEZI PARK
CHASWETA,-15.333333333333334,30.283333333333335,12 Km Ese Of Katondwe Mission,75 KM ESE OF RUFUNSA,PHOSPHATE,BARITE,NIOBIUM,INACTIVE,NIL,CARBONATITE,"Eroded relic twin volcano. Soil values 0.3% Nb2O5, 3.25% P2O5[cite: 2290].",407.2926416355182,5.818466309078831,Unknown,12 KM ESE OF KATONDWE MISSION
KALUWE,-15.183333333333334,30.0,20 Km West Of Katondwe Mission,60 KM SSE OF RUFUNSA,PHOSPHATE,NIOBIUM,IRON,Feasibility evaluation.,Soils: 6.6M T @ 5.7% P2O5. Rock: 207M T @ 2.5% P2O5[cite: 2324].,CARBONATITE,Carbonatite conformable in Karoo sediments. 9.6km long[cite: 2330].,375.0918648787339,5.358455212553341,Unknown,20 KM WEST OF KATONDWE MISSION
MWAMBUTO,-15.316666666666666,30.166666666666668,12 Km Sw Of Katondwe Mission,70 KM ESE OF RUFUNSA,PHOSPHATE,BARITE,NIOBIUM,INACTIVE,NIL,CARBONATITE,Isolated ring of hills. Soil sampling avg 3.5% P2O5[cite: 2369].,397.85477363122914,5.683639623303273,Unknown,12 KM SW OF KATONDWE MISSION
NCHONCHO,-14.983333333333333,30.05,Katondwe Area,30 KM NW OF KATONDWE,GOLD,BISMUTH,None,INACTIVE,"6,000 T @ 0.25% Bi[cite: 2387].",HYDROTHERMAL QUARTZ VEIN,Several veins 0.9-2.1m wide. Traces to 0.4% Bi [cite: 2408-2409].,361.478482353492,5.1639783193356,Unknown,KATONDWE AREA
NKASEKA HILL (MO 121),-15.016666666666667,30.05,Katondwe Area,nan,GOLD,BISMUTH,None,INACTIVE,Unknown.,HYDROTHERMAL QUARTZ VEIN,Best value 3.7 g/t Au[cite: 2413].,364.26862971104396,5.203837567300628,Unknown,KATONDWE AREA
MULAMBWA (MO 119-120),-15.0,30.1,Katondwe Area,nan,GOLD,None,None,INACTIVE,Unknown.,RUBBLE,Rubble and float assayed traces to 4.5 g/t Au[cite: 2417].,366.4293806186971,5.234705437409959,Unknown,KATONDWE AREA
MO 118,-14.983333333333333,30.233333333333334,Katondwe Area,nan,GOLD,None,None,INACTIVE,Unknown.,PLACER,Pan concentrates produced only a few gold colours.,374.7887332052432,5.354124760074903,Unknown,KATONDWE AREA
MO 125,-15.0,30.116666666666667,Katondwe Area,nan,GOLD,BISMUTH,COPPER,INACTIVE,Unknown.,VEIN,"8 samples 1.7-3.4 g/t Au, one assayed 81.6 g/t [cite: 2420-2422].",367.6253095321181,5.251790136173115,Unknown,KATONDWE AREA
MO 126,-15.05,30.166666666666668,Katondwe Area,nan,GOLD,BISMUTH,None,INACTIVE,Unknown.,VEIN,Samples 1.7-3.4 g/t Au. Largest vein 290m x 1.2m [cite: 2424-2425].,375.3502604685313,5.362146578121876,Unknown,KATONDWE AREA
YALA HILLS (MO 127),-15.133333333333333,30.166666666666668,Katondwe Area,nan,GOLD,None,None,INACTIVE,Unknown.,PLACER,Alluvial occurrence.,382.27830883657316,5.461118697665331,Unknown,KATONDWE AREA
NACHOMBA,-15.25,30.0,12 Km West Of Katondwe Mission,65 KM ESE OF RUFUNSA,PHOSPHATE,NIOBIUM,None,INACTIVE,NIL,CARBONATITE,"Silicified carbonatite hill. Soil grades 0.2% Nb2O5, 3.05% P2O5 [cite: 2457-2462].",380.9219996368406,5.441742851954866,Unknown,12 KM WEST OF KATONDWE MISSION
CHIRINDE,-15.25,30.0,2 Km N Of Nachomba,65 KM ESE OF RUFUNSA,PHOSPHATE,None,None,INACTIVE,NIL,CARBONATITE,Depression 2km diameter adjoining The Uma.,380.9219996368406,5.441742851954866,Unknown,2 KM N OF NACHOMBA
SILOWANA PLAIN,-17.0,23.416666666666668,Extreme Sw Of Zambia,KATIMA MULILO IS ON EAST EDGE,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE INDICATOR MINERALS,Kalahari sand covered area.,688.3060186020563,9.832943122886519,Unknown,EXTREME SW OF ZAMBIA
KATABA (NJOKO),-16.216666666666665,24.766666666666666,Headwaters Of Njoko Stream,SW OF KAFUE NATIONAL PARK,DIAMOND,None,None,INACTIVE,NIL,DIAMOND OCCURRENCE,4 diamonds (0.102 C) from Njoko stream[cite: 2517].,527.2603676333089,7.532290966190127,Unknown,HEADWATERS OF NJOKO STREAM
MULOBEZI (CK1),-16.583333333333332,25.2,Kafue,PL SURROUNDS MULOBEZI VILLAGE,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Elongate body 240 x 45m beneath 13m sand [cite: 2554-2555].,533.0192175305809,7.61456025043687,Lusaka,SW OF KAFUE NATIONAL PARK
CK2 (MULOBEZI),-16.583333333333332,25.2,1200M Nw Of Ck1,nan,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Pear shaped 85m wide. Ferricrete cap[cite: 2557].,533.0192175305809,7.61456025043687,Unknown,1200M NW OF CK1
CK3 (AK1),-16.583333333333332,25.2,40 Km Sw Of Ck1,nan,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Dimensions 150 x 70m [cite: 2559-2560].,533.0192175305809,7.61456025043687,Unknown,40 KM SW OF CK1
