Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Pitanda,-12.5667,27.9833,Copperbelt Province,Chambishi,Copperbelt Province > Chambishi,Chambishi - Ml19,Chambishi,27 KM nm of kitne,Copper,,,Active,"ACCORDING TO FREEMAN (1988), IF CONTINUITY ALONG A 4 KM STRIKE LENGTH IS ASSUMED THERE COULD BE 15 MILLION TOWERS AT THE AVERAGE GRADE OF 1.70X IN A GENTLY DIPPING BOOT. HOWEVER, FREEMAN ALSO SUGGESTS THAT ""IT IS NOT LIKELY THAT THERE IS A SMALLER TOWNAGE IN A MORE IRREGULAR DISTRIBUTION"".",STRATIFORM COPPER IN LOWER ROAN,"Rock types: SHALE, CONGLOMERATE; Mineralization: COPPER.",14.93980542,0.213425792,
Timkers (Chintuani),-12.8667,28.2,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,"Central Copperbelt, Nkana Division",Kitwe,10 KM SSW of kitne,Copper,,,Active,"100,000 TONNES AVERAGING 3.0X TOTAL COPPER, 2.7X ACID SOLUBLE COPPER IN A SMALL POO SURROUNDING THE DRILL INTERSECTION.",COPPER OXIDES AND SULPHIDES IN ROCKS OF THE NAVA SYSTEM,"Rock types: GRANITE, QUARTZITE, SCHIST; Mineralization: COPPER, MALACHITE.",53.06140848,0.758020121,
Nchanga Mine,-12.42,27.7908,Luapula Province,Mansa,Luapula Province > Mansa,"Northwestern Copperbelt, In Nchanga Ml10",Mansa,48 KM NW of kitne,Copper,Cobalt,,Unknown,111.57 MILLION TONNES OF COPPER ORE AVERAGING 3.95% TOTAL COPPER AND 1.67% ACID SOLUBLE COPPER; AND 14.8 MILLION TONNES OF COBALT ORE AVERAGING 0.57% COBALT AND 0.06% ACID SOLUBLE COBALT; AS AT 1ST APRIL 1990.,STRATIFORM COPPER IN LOWER ROAN,"Rock: Granite, Sandstone; Minerals: Copper; Formation: Roam Group",14.14154562,0.20202208,
Lukulu River,-12.5667,30.8833,Muchinga Province,Isoka,Muchinga Province > Isoka,Serenje Group,Isoka,84 KM NE of Serenje,Manganese,,,Active,NONE,SUPERGENE VEIN TYPE,"Rock types: GRANITE, SCHIST.",329.2518651,4.703598072,
Kasanka,-12.6667,30.1667,Muchinga Province,Isoka,Muchinga Province > Isoka,On The North Floating Kasanka Tributary Of The Mulenbo River,Isoka,30 KM west of kafinda,Diamond,,,Active,NIL,BARREN KIMBERLITES,"Rock types: SANDSTONE, QUARTZITE, SHALE; Formation: SILTSTONES AND SANDSTONES OF THE RUNDELUNGU SERIES OF THE KATANGA SUPERGROUP.",251.8342078,3.597631539,
Mlenbo,-12.5,30.0833,Northern Province,Mporokoso,Northern Province > Mporokoso,"Located In The Nook On The Mlenbo River, 30 Km North Of Mamado Chipeum",Mporokoso,85 KM nhw of serenae,Iron,,,Active,15 MILLION T @ 44.2X FE TO 32.5 M DEPTH AS ESTIMATED BY CHARTERED EX.,REPLACEMENT-TYPE IRON FORMATION,Mineralization: IRON; Formation: BUT THOUGHT TO REPLACE SNALE OF THE KALOMGA FORMATION.,242.4610607,3.463729438,
Kapamba,-12.9203,31.3419,Muchinga Province,Isoka,Muchinga Province > Isoka,"West Of The Luangwa River, South Luangwa National Park",Isoka,135 KM west of Serenje,Diamond,,,Active,"P2 IS THE BEST OF THE PIPES WITH A LOW GRADE RESOURCE IN AN AREA 165,000 SO. M, APPROX. TOX DIAMOND|FEROUS KINGERLITE, GRADE 0.265 C/100 T.",DIAMOND|FEROUS LAMPROITES,Rock types: METASEDIMENT; Mineralization: DIAMOND.,381.1803424,5.445433462,
Kamanjeeva Group,-12.4167,32.6667,Muchinga Province,Isoka,Muchinga Province > Isoka,Rear Lundazi-Mbuzi Road,Isoka,Approximately 70 KM west of Lundazi,Aquamarine,,Quartz,Active,UNKNOWN,BERYL PERMATITÉS,Mineralization: MAGNETITE; Formation: THIS IS AN AREA OF NUMEROUS PERMATITES CALLED THE KAMANJEEVA GROUP.,523.098105,7.472830071,
Lundazi Area,-12.0036,32.2592,Muchinga Province,Isoka,Muchinga Province > Isoka,Very Large Area Around Lundazi,Isoka,"From Lundazi: NE 20 KM, west 60 KM, east to malaki and sm 120 KM",Aquamarine,Beryl,Mica,Active,"UNKNOWN, BUT UNDOUBTEDLY LARGE IN TERMS OF LOCAL MINING. WOMANS SEEN INDIVIDUAL STONES UP TO APPROX. 10 G IN WEIGHT, IN A TOTAL OF APPROX. 3 KG OF HIGH QUALITY PRODUCT OBTAINED FROM A NUMBER OF SOURCES BY ONE ILLEGAL BUYER. THE MINES DEPARTMENT (U: SMETA, PERSONAL COMMUNICATION) SUGGESTED THAT THE GROSS VALUE OF ROUGH AQUAMARINES COULD BE IN THE US$ 20 TO 40 MILLION RANGE PER ANNUAL APART FROM THE MAIDA PROBLEM OF UNRECORDED PRODUCTION IN ASSESSING RESERVES, THE DIFFICULTY OF MINING THE HARD ROCK IS A CRITICAL FACTOR TO BE WEIGHED AGAINST THE FREQUENCY OF GEN MATERIAL, AND MUCH OF THE CURRENT MINING IS QUESTIONABLY PROFITABLE.",PEGMATITE,Rock types: GNEISS; Formation: OFTEN OCCUR IN GROUP.,482.6807761,6.895439658,
Nushima (North Luangua),-12.2,32.0833,Muchinga Province,Isoka,Muchinga Province > Isoka,In South Part Of North Luangwa Game Reserve,Isoka,125 KM west of Lundazi,Diamond,,,Active,MIL,CLUSTER OF KIMBERLITES,Mineralization: DIAMOND; Formation: 1 GROUP.,461.2893268,6.589847526,
,-12.5833,32.75,Muchinga Province,Isoka,Muchinga Province > Isoka,Lundazi Area,Isoka,80 KM sm of Lundazi,Gold,Beryl,,Active,"APPROX. 1,270 CU M OF GOLD BEARING GRAVELS",PERMATITE AND QUARTZ VEIN AREA,Rock types: METASEDIMENT; Mineralization: GOLD; Formation: THE PROMINENT HILLS ARE UNDERLAIN BY THE MAFINGI GROUP.,531.8417573,7.597739391,
Machinje,-12.5833,32.6667,Muchinga Province,Isoka,Muchinga Province > Isoka,Luxusuzu Game Reserve,Isoka,72 KM SW of Lundazi,Iron,,,Active,NIL,MAGNETITE-NEWATITE DEPOSIT IN ONEISS,SMALL IRON DEPOSIT.,522.7980822,7.468544031,
Panela,-12.9167,32.1667,Muchinga Province,Isoka,Muchinga Province > Isoka,Area Surrounds The Former Line Works Near The Managazi River,Isoka,75 KM nm of Chipata 20 KM east of the Chipata-msefu road,Diamond,,,Active,MIL,KIMBERLITE CLUSTER,TWO DIAMONDIFEROUS PIPES.,470.1330656,6.716186652,
Langue Group,-12.8667,32.4833,Muchinga Province,Isoka,Muchinga Province > Isoka,Luxusuzi National Park No. 3,Isoka,100 KM SW of Lundazi,Gold,Copper,,Active,NONE,HYDROTHERMAL (?) VEINS,"Rock types: SCHIST; Mineralization: COPPER, GOLD; Formation: THERMAL EVENTS AND UPPER PROTEROZOIC DEFORMATION.",503.9569338,7.199384768,
Aries And Aries Ii,-12.2,33.1667,Eastern Province,Lundazi,Eastern Province > Lundazi,North Of Lundazi,Lundazi,8 KM north of Lundazi,Aquamarine,Beryl,Amethyst,Unknown,UNKNOWN,BERYL-MICA PEGNATITES,"Rock types: GNEISS; Mineralization: MAGNETITE, HEMATITE.",578.6475719,8.266393884,
Manda Hill Group,-11.5,33.1833,Eastern Province,Lundazi,Eastern Province > Lundazi,Manda Hill Area North Of Lundazi,Lundazi,80 KM north of Lundazi,Aquamarine,Beryl,Niobium,Unknown,UNKNOWN,MICA PEGMATITE,Formation: THE SOUTHERNMOST OF THE GROUP.,591.2978081,8.447111544,
Dongwe,-13.8372,23.7569,North-Western Province,Kabompo,North-Western Province > Kabompo,Follows The Dongue River For 150 Km,Kabompo,Extends from mushina in the east to watopa ferry in the west,Diamond,Copper,,Active,UNKNOWN,DIAMOND OCCURRENCE,KATANGA SYSTEM SEDIMENTARY,466.2311385,6.660444835,
Invati,-13.5333,24.8833,North-Western Province,Kasempa,North-Western Province > Kasempa,Kalengua Area,Kasempa,16 KM SW of kalengua,Copper,,,Active,MIL,INSIGNIFICANT COPPER OCCURRENCE,"Rock types: SANDSTONE, CONGLOMERATE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",340.0684558,4.858120797,
Kawara - Luamakanbie Group,-13.9333,24.8667,North-Western Province,Kasempa,North-Western Province > Kasempa,Kasempa Salient,Kasempa,113 KM sm of Kasempa (south of domone river),Copper,Gold,,Active,NONE,HYDROTHERMAL VEINS WITH ASSOCIATED SILICIFICATION AND SULPHIDE MINERALIZATION,ACID INTRUSIVES INTO KUNDELUNGU CLASTIC SEDIMENTS,358.4792389,5.121131984,
Karibarehbi,-13.9,25.0333,North-Western Province,Kasempa,North-Western Province > Kasempa,Kalengua Area,Kasempa,49 KM south of kalengua,Copper,Gold,,Active,NIL,EPIGENETIC SEDIMENT-HOSTED GOLD AND COPPER,Formation: THE PREDOMINANT LITHOLOGY IS A DARK GREY ARGILLITE WHICH IS PROBABLY PART OF THE KUNDELUNGU SERIES.,340.6685729,4.866693898,
D:\Rj1,-13.9167,24.8333,North-Western Province,Kasempa,North-Western Province > Kasempa,Kalengua Area,Kasempa,53 KM SW of kalengua,Copper,Gold,,Active,NIL,VEIN COPPER,SUPERGENE ENRICHED.,360.9491852,5.156416931,
Chihema,-13.9333,24.8833,North-Western Province,Kasempa,North-Western Province > Kasempa,Icalengua Area,Kasempa,52 KM SSW of kalengua,Copper,,,Active,NIL,STRATIFORM VEIN COPPER - SUPERGENE ENRICHED,"Rock types: SANDSTONE, QUARTZITE; Mineralization: MALACHITE.",356.8551265,5.097930379,
Musondueji,-13.2536,24.7569,North-Western Province,Kabompo,North-Western Province > Kabompo,Embraces The Musondueji River North Of The Dongue River,Kabompo,The kalengua mine road runs along the west side of the PL,Diamond,Copper,,Active,UNKNOWN,DIAMOND OCCURRENCE,Rock: Granite,344.6911818,4.92415974,
Alafuta And Dongue Beryl,-13.5039,23.5069,North-Western Province,Kabompo,North-Western Province > Kabompo,General Area Of The Dongue And Lalafuta Rivers,Kabompo,Central part of the area is 40 KM south of kabohpo,Beryl,,,Active,MIL,PEGMATITE,"SMALL CRYSTALS OF BERYL ARE REPORTED IN PEGMATITES AT SEVERAL LOCALITIES INCLUDING: DONGUE 2, ON THE...",482.7208594,6.896012276,
Kanneji,-13.8833,24.3667,North-Western Province,Kabompo,North-Western Province > Kabompo,35 Km Se Of Kabompo,Kabompo,82 KM sm of kalekuna,Copper,,,Active,NIL,STRATIFORM COPPER,"Rock types: QUARTZITE; Mineralization: COPPER, MALACHITE, DIAMOND.",405.8531639,5.797902341,
Kalengua,-13.65,24.7,North-Western Province,Kasempa,North-Western Province > Kasempa,Kalengua Area,Kasempa,0,Copper,Silver,,Active,"ESTIMATED BY FREEMAN (1988) AT 1.3 MILLION TONNES GRADING 2.5X COPPER. THE ORE IS CONTAINED IN TWO DEPOSITS: KALENGUA MAIN, 0.8 MILLION TONNES a 2.5X COPPER; KALENGUA SOUTH, 0.5 MILLION TONNES a 2.5X COPPER.",STRATIFORM COPPER - SUPERGENE ENRICHED,"Rock types: SHALE; Mineralization: MALACHITE, AZURITE; Formation: THE HOST ROCKS ARE KUNDELUNGU SERIES.",363.0474731,5.186392473,
Kasempa (Lubufu) Group,-13.0039,25.7572,North-Western Province,Kasempa,North-Western Province > Kasempa,MINE Deposits Are Within 3 Km Of The Kasempa-Munsua Road,Kasempa,Within 40 KM of Kasempa,Iron,,,Active,ESTIMATED OPEN PITTABLE TO 150 H AT A MASTERORE RATIO OF 4:1 BY ANGLO AMERICAN: 229 MILLION T B 66X FE IN 10 DEPOSITS SOUTHEAST OF KASEMPA AND IN EASY RANGE OF THE KASEMPA-MUNSUA ROAD. THE OTHER DEPOSITS IN THE AREA WOULD ADD CONSIDERABLE ADDITIONAL TOWNAGE.,REPLACEMENT-TYPE IRON FORMATION,"Rock types: GRANITE; Mineralization: COPPER, IRON, MAGNETITE; Formation: THE GROUP.",232.9048972,3.327212817,
Jikambo,-13.5,25.3167,North-Western Province,Kasempa,North-Western Province > Kasempa,Kalengua Area,Kasempa,15 KM ESE of kalengua,Copper,,,Active,MIL,INTRUSIVE-HOSTED EPIGENETIC COPPER - SUPERGENE ENRICHED,"Mineralization: COPPER, CHALCOPYRITE, PYRITE.",294.7507109,4.210724442,
M75/O,-13.3333,25.1,North-Western Province,Kasempa,North-Western Province > Kasempa,2 Km East Of The Kalengua Kalulushi Road,Kasempa,17 KM NE of kalengua,Copper,,,Active,MIL,SUPERGENE ENRICHED SEDIMENTARY COPPER DEPOSIT,"Mineralization: COPPER, DIAMOND.",311.0186954,4.44312422,
Minenba,-13.4333,25.0167,North-Western Province,Kasempa,North-Western Province > Kasempa,Kalengua Area,Kasempa,4 KM NE of kalengua,Copper,,,Active,"A RESOURCE OF 150,000 TONNES GRADING 1.4X COPPER ON THE MAIN OCCURRENCE (FREEMAN, 1988-2).",EPIGENETIC BRECCIA-MOSTED COPPER DEPOSIT IN AN ALTERED MAFIC BODY,"Mineralization: COPPER, CHALCOPYRITE, PYRITE.",322.8943688,4.612776697,
Upper Domgue,-13.0036,25.1736,North-Western Province,Kasempa,North-Western Province > Kasempa,"Headwaters Of The Domgue And Misondweji,Rivers West Of Kasempa",Kasempa,The kanana-Kabompo rd. Forms north edge of the PL and it adjoins the musondweji PL to the west,Diamond,Copper,,Active,NIL,RARE OCCURRENCE OF KIMBERLITE INDICATOR MINERALS,THE AREA IS UNDERLAIN BY MAINLY UPPER KATANGA ROCKS. THERE DO NOT APPEAR TO BE KIMBERLITES IN THE AREA.,294.9135489,4.213050698,
Kangora-1 And Western Queen,-13.8167,25.1833,North-Western Province,Kasempa,North-Western Province > Kasempa,Kasempa Salient,Kasempa,74 KM SW of Kasempa,Copper,Gold,,Active,NONE,HYDROTHERMAL VEINS WITH ASSOCIATED SILICIFICATION AND SULPHIDE MINERALIZATION,ACID INTRUSIVES INTO KUNDELUNGU CLASTIC SEDIMENTS,322.0499569,4.60071367,
North Lunga Basin (Nm Corner),-13.0667,26.1167,North-Western Province,Kasempa,North-Western Province > Kasempa,Lunga Basin,Kasempa,75 KM SE of Kasempa,Unknown,Gold,Silver,Active,INACTIVE,NONE,HYDROTHERMAL VEIN-STOCKWORKS ASSOCIATED WITH ACID INTRUSIVES,197.082768,2.815468115,
Buffalo And Buffalo East,-13.7833,26.5,North-Western Province,Kasempa,North-Western Province > Kasempa,27 Km Ne Of The Kasempa Munima Road,Kasempa,90 KM ESE of Kasempa,Copper,,,Active,NIL,SUPERGENE ENRICHED,SEDIMENT-HOSTED COPPER,201.7066381,2.881523402,
Chunga,-13.7,26.7,North-Western Province,Kasempa,North-Western Province > Kasempa,Lunga Basin Area,Kasempa,95 KM east of Kasempa,Copper,,,Active,NONE,FAULT-CONTROLLED COPPER MINERALIZATION,Rock types: SANDSTONE; Mineralization: MALACHITE.,179.8313174,2.56901882,
Kaungashi And Uambo,-13.5039,26.2575,North-Western Province,Kasempa,North-Western Province > Kasempa,"Bordered On The West By The Lunga River And On The East By The Lushishi River, Lunga Basin",Kasempa,About 100 KM SE of Kasempa (400 road KM mu of Lusaka),Copper,Zinc,Gold,Active,NIL,SEDIMENT-HOSTED SULPHIDE DEPOSIT WITH SURFACE ENRICHMENT,"Rock types: SANDSTONE, QUARTZITE, LIMESTONE; Mineralization: MALACHITE, DIAMOND, IRON.",203.5001075,2.907144392,
Eureka/Mil Desperandum,-13.9667,27.85,Central Province,Kabwe,Central Province > Kabwe,East Side Of Luxanga River,Kabwe,50 KM vest of Kapiri Mposhi,Copper,,,Active,"FREEMAN (1988-2) ESTIMATED A POSSIBLE RESOURCE OF 250,000 TONNES @ 2.55X CL, LARGELY OXIDE.",SUPERGENE ENRICHED COPPER,Minerals: Copper,159.3833265,2.276904664,
Lumpuna (Nhelushi,-13.0869,27.9744,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,South And SW Of Lumnshya Near The Kafusu Enerald Area,Luanshya,Nhelushi - 48 KM west; mitondo - 35 KM west; and lumpuna east - 25 KM SW of lumnshya,Copper,,,Active,"LUMPUNA EAST HAS A FLAT-LYING ZONE SOME 500 M LONG, 150 M WIDE AND 4 M THICK AT DEPTHS OF 30 - 50 M BELOW SURFACE. TONNAGE IS ESTIMATED AT 800,000 TONNES WITH AN AVERAGE GRADE OF 0.95X COPPER. THE MITONDO DEPOSITS CONTAINS AN ESTIMATED 200,000 TONNES @ 0.70X COPPER. THE NHELUSHI DEPOSIT CONTAINS AN ESTIMATED 300,000 TONNES @ 1.24X COPPER. (ALL TONNAGE ESTIMATES BY FREEMAN, 1988).",STRATIFORM COPPER IN ROCKS OF PRESUMED KATANGA AREA,"Rock types: QUARTZITE, SCHIST; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",63.02389267,0.900341324,
Kadola Area,-13.5039,27.5078,Central Province,Kabwe,Central Province > Kabwe,South And SW Of Luanshya,Kabwe,South and SW of Luanshya,Unknown,Pyrite,Uranium,Active,"NO ESTIMATE OF RESERVES OR RESOURCES WAS BEEN COMPLETED OTHER THAN AT MILLBERG (SEE); THE KADOLA COPPER PROSPECT, WHERE FREEMAN (1988-2) ESTIMATED A POSSIBLE 310,000 T @ 2.73% CU IN A STEEPLY DIPPING BOOT ABOUT 2.5 N THICK; AND THE EUREKA COPPER PROSPECT (SEE).",SILICIFIED,CARBONATE-HOSTED LEAD AND ZINC SULPHIDES,114.1152323,1.630217604,
Kabanga,-13.25,27.25,Copperbelt Province,Chambishi,Copperbelt Province > Chambishi,West Of Lushnishi River,Chambishi,1125 KM SW of kitne,Iron,,,Active,MIL,IRON OCCURRENCE,A MAGNETITE BOOY 100 X 40 M.,102.8619905,1.469457007,
Kafubu Area,-13.0869,28.0911,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Area West Of Kafue River (20 Km E-M By About 20 Km N-S),Luanshya,20-40 KM west of luanswia or south of Kalulushi,Emerald,Beryl,Copper,Active,CONTROLLED BY ZCCM MINE POLICE AS A SERVICE. THIS WAS ALL BUT ELIMINATED ILLEGAL MINING. ILLEGAL SELLING TO BUYERS WHO PATROL OUTSIDE THE RESTRICTED AREA IS RIFF. MOST MINING IS OPEN PIT,SOME USING EQUIPMENT RENTED FROM ZCCM ONE OPERATOR INFORMED MGM THAT HE IS MINING UNDERGROUND ON A STEEPLY DIPPING,WATER PRODUCING LEAD TO A DEPTH OF APPROX. 50 M.,66.88348115,0.955478302,
Kagen,-13.1167,28.1333,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Between Kafue And Kafubu Rivers,Luanshya,20 to 30 KM west of liamsnya and south of Kalulushi,Emerald,Beryl,,Unknown,"THE KAGEN STAFF HAVE ISSUED NO STATEMENT OF RESERVES, BUT THEY ARE OBVIOUSLY SUBSTANTIAL. IN ADDITION TO THE MINES, THERE ARE SEVERAL OTHER MINING OPPORTUNITIES WITHIN THEIR LIMITS THAT ARE KEEP HIDDEN FOR SECURITY REASONS. IN NOW'S OPINION A LIFE EXPECTANCY OF AT LEAST 25 YEARS CAN BE EXPECTED AT THE CURRENT MINING RATE OF OPEN PIT RESERVES. SIMPLE UNDERGROUND-MINING BY DECLINE IS LIKELY TO EXTEND THE LIFE OF THE MINES FOR AT LEAST A FURTHER 25 YEARS.",EMERALD-BEARING SCHISTS/PEGMATITE OF THE MUYA SYSTEM,Rock types: SCHIST; Mineralization: MAGNETITE; Formation: THREE STAGES OF PEGMATITE FORMATION.,71.77366634,1.025338091,
Luanshya Division (Luanshya,-13.0536,28.3578,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Luanshya And Baluba,Luanshya,35 KM SE of kijue,Copper,,,Unknown,GROSS ORE RESERVES IN THE LUANSHYA AND BALUBA MINES AS AT 31 MARCH 1990 WERE 75.68 MILLION TONNES @ 2.46% TOTAL COPPER.,STRATIFORM COPPER IN LOWER-ROAN,"Rock: Granite, Schist; Minerals: Copper; Formation: Overlying Formation",79.86849243,1.140978463,
Luanshya Oxides,-13.0703,28.4078,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Adjacent To The Present Mine Workings At Luanshya Division,Luanshya,All within 10 KM of the town of Luanshya,Copper,,,Active,31.2 MILLION TONNES AT 2.38% TCU AND 1.81% AS CU.,OXIDIZED STRATIFORM COPPER IN THE LOWER ROAN,"Mineralization: COPPER, MALACHITE.",84.98852234,1.214121748,
Lufubu North And South,-13.0369,28.2911,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,In The Roam - Muliashi Basin,Luanshya,To the west of the Luanshya and Baluba mines,Unknown,Copper,Molybdenum,Active,INACTIVE.,"ESTIMATED AT: (1) 800,000 TONNES AT AN AVERAGE GRADE OF 10X COPPER AT LUFUBU NORTH; AND (2) 500,000 TONNES AT AN AVERAGE GRADE OF 15X COPPER AT LUFUBU SOUTH",STRATIFORM COPPER IN LOWER ROAM.,73.6499756,1.052142509,
Muliashi North,-13.1,28.35,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Luanshya - Nl 16,Luanshya,10 KM hw of Luanshya,Unknown,Copper,,Unknown,INACTIVE.,961 MILLION TONNES AT AN AVERAGE GRADE OF 215% TOTAL COPPER AND 172% ACID SOLUBLE COPPER THESE RESERVES ARE OPEN PITTABLE WITH A LOW W/O RATIO,STRATFORM OXIDE AND SULPHIDE COPPER IN LOWER ROAM.,83.12486883,1.187498126,
Niku (Kafubu),-13.0667,28.05,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Near Niku River (Tributary Of Kafubu) - Mu Part Of Kafubu Enerald District,Luanshya,40 KM west of luanswia,Unknown,Emerald,Beryl,Active,EMERALD MINE,UNKNOWN CONSIDERING THE LONG HISTORY AND LOCAL COMMENTS THAT CURRENT PRODUCTION IS INTERNITTENT,RESERVES ARE PRESUMABLY SMALL TO THE LIMITS OF SAFE AND ECONOMIC OPEN PIT MINING.,63.14826835,0.902118119,
Mkushi Copper - Hunda Section,-13.9667,29.1333,Central Province,Mkushi,Central Province > Mkushi,Mukushi District,Mkushi,80 KM NE of karne,Copper,Gold,Emerald,Active,FREEMAN (1989) ESTIMATED A PROBABLE 4 MILLION T AT 1.2 X CU AND A POSSIBLE 4 MILLION T 1.2 X CU.,DISSEMINATED SULPHIDES,INTROTHERMAL (?) PORPHYRY COPPER (?),211.4130483,3.020186405,
Mkushi Copper - Coloquo Bottia Section,-13.9167,29.2,Central Province,Mkushi,Central Province > Mkushi,Mukushi District,Mkushi,80 KM NE of kabne,Copper,Gold,Emerald,Active,"ONLY THE MINERALIZED APLITE WAS SUFFICIENTLY SAMPLED AND EXPOSED TO ALLOW A RESERVE ESTIMATE FOR THE SHAFT 1 AND SHAFT 1A WORKINGS OF 45,000 TONNES 8 2.88X CU (TO DEPTH OF 46 M).",DISSEMINATED SULPHIDES,HYDROTHERMAL (7) POMPHYRY COPPER (7),212.1675345,3.030964779,
Mkushi Copper - Ntuga Section,-13.9667,29.1167,Central Province,Mkushi,Central Province > Mkushi,Nxushi Copper District,Mkushi,80 KM NE of kabne,Copper,Gold,Emerald,Active,"230,000 T AT 1.84% CU",DISSEMINATED SULPHIDES,NYDROTHERMAL (?) PORPWRY COPPER (?),210.2323235,3.003318907,
Nunshinenga Beryl,-13.9167,29.1667,Central Province,Mkushi,Central Province > Mkushi,Nxushi Area,Mkushi,Near nunshinenga-lunsehena confluence,Unknown,Emerald,Gold,Active,DORMANT,MIL,PEGWAITITE,209.6988221,2.995697459,
N'Sonani,-13.1667,30.6667,Eastern Province,Petauke,Eastern Province > Petauke,Serenae Area,Petauke,19 KM SE of kanona,Iron,Manganese,,Active,MIL,FORMER IRON WORKING,"Rock types: GRANITE, QUARTZITE, SCHIST.",313.368842,4.476697742,
Serenje,-13.25,30.25,Central Province,Serenje,Central Province > Serenje,Serenje Area,Serenje,Near Serenje village and up to 50 KM to the south,Mica,Beryl,Tourmaline,Active,NIL,PEGMATITE,"THE AREA HAS PRODUED MICA, TOURNALINE AND MINOR AMOUNTS OF BERYL. NO GEM RECORDED.",272.0718927,3.886741325,
Velocity Mine,-13.8167,30.0667,Central Province,Serenje,Central Province > Serenje,Bulungu Hills,Serenje,180 KM NE of Kabwe,Gold,,,Active,UNKNOWN,ALTHOUGH MINERALIZATION FAIRLY CONTINUOUS AT 31 G AU/T,HYDROTHERMAL VEIN AND SILICI FI CATION,279.2108615,3.988726594,
Kamboka,-13.8333,31.6167,Eastern Province,Petauke,Eastern Province > Petauke,Petauke Area,Petauke,47 KM north of Petauke,Gold,,,Active,UNKNOWN,HYDROTHERMAL VEIN,Rock types: GNEISS; Mineralization: PYRITE; Formation: UNDERLAIN BY LUSANDNA AND CHINDENI GROUP.,432.6470094,6.180671563,
Sasare,-13.9,31.3833,Eastern Province,Petauke,Eastern Province > Petauke,Petauke District,Petauke,38 KM north of Petauke,Gold,,,Unknown,"UNKNOWN IN SITU RESERVES. VASTE DUMP MATERIAL, ACCORDING TO MINEX, CONTAINS 13,900 T @ 1.04 - 1.07 G/T. SOME PRODUCTION OF SILVER HAS BEEN RECORDED - APPROXIMATELY 20 PARTS AG TO 100 PARTS OF AU. GOLD FINENESS IS NEVERTHELESS REPORTED AT 978.",HYDROTHERMAL VEIN SYSTEM,"Rock types: GRANITE, SANDSTONE, QUARTZITE; Mineralization: GOLD, IRON.",411.5549057,5.879355796,
Lutenbue Reef,-15.6542,32.6589,Eastern Province,Chipata,Eastern Province > Chipata,Chipata Area,Chipata,10 KM SE from Chipata,Gold,,,Active,UNKNOWN,HYDROTHERMAL VEIN ACCOMPANIED BY SILICIFICATION,"Rock: Quartzite, Schist",623.9501646,8.913573781,
Madzimoto Group,-13.7,32.5167,Eastern Province,Chipata,Eastern Province > Chipata,Chipata Area,Chipata,148 KM NE of petauxe,Gold,,,Active,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"Rock types: GRANITE, QUARTZITE, GNEISS; Mineralization: COPPER, MALACHITE, CHALCOPYRITE; Formation: A SERIES.",521.7409139,7.453441627,
Kilalahirombue - Kakarobert - Yanyauki,-14.0833,24.8167,Northern Province,Kasehpa Salient,Northern Province > Kasehpa Salient,Kasehpa Salient,Kasehpa Salient,124 kh SW of kasehpa,Copper,Gold,,Active,MAY BE PART OF A WALL ROCK OF A MINERALIZED SHEAR; KILALAMIROH6WE-3: A FEW BOULDERS OF SILICIFIED LIMONITE,BOTH AS MASSIVE AND AS BOXWORKS SIMILAR TO SHINGANDA TYPE (SEE KARARI-KATOKA GROUP) SHALL STRINGERS OF VEIN QUARTZ AND SOME SHALE FLOAT; KILALAMIROHBWE-1: A 46 CM WIDE QUARTZ VEIN IN BIOTITE SCHIST WITH SOME PATCHES OF SILICEOUS LIMONITE AND SPARSE MALACHITE; KILALAHIROM8WE-4: A NORTHEASTERLY TRENDING,1.5 M -1.8 M WIDE,370.7224478,5.296034968,
Luena,-14.0039,24.0069,Northern Province,Beiner In The Dongue And Luena Rivers West Of Kagma,Northern Province > Beiner In The Dongue And Luena Rivers West Of Kagma,Beiner In The Dongue And Luena Rivers West Of Kagma,Beiner In The Dongue And Luena Rivers West Of Kagma,The east boundary is 30 KM mu of kagma,Diamond,,,Active,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",446.8954304,6.384220435,
